individuo,flor,colcor,longpet,anchpet,longsep,anchsep,longped,diamcor
6,2,rosa,2.2,1.8,0.9,0.4,1.7,4.5
6,3,rosa,2.5,2.2,1,0.4,2,5
6,4,rosa,2.2,2.2,1,0.3,2.8,4.5
6,5,rosa,2.3,2.5,1,0.4,2.2,4.5
6,6,rosa,2.2,2.2,0.9,0.4,2.3,4.4
6,7,rosa,2.3,2.2,0.9,0.4,2,4.5
7,1,rosa,2.3,2.2,0.9,0.4,2.1,4.6
7,2,rosa,2.4,2.2,0.9,0.3,2.2,5
7,3,rosa,2.4,1.9,0.8,0.4,1.8,5
7,4,rosa,2.3,2,0.9,0.3,1.7,4.5
7,5,rosa,2.2,2,0.9,0.4,1.7,4.5
7,6,rosa,2.4,2,0.9,0.4,1.6,5
7,7,rosa,2.2,2.5,1,0.4,1.8,4.4
8,1,rosa,2.5,2,0.9,0.4,2,5
8,2,rosa,2.5,2,0.8,0.4,2.1,5
8,3,rosa,2.4,2,0.8,0.4,2,5
8,4,rosa,2.4,2.2,0.9,0.4,2,5
8,5,rosa,2.5,2.2,0.9,0.4,1.9,5
8,6,rosa,2.5,2.2,0.9,0.3,2,5
8,7,rosa,2.5,2,0.9,0.3,1.8,5
9,1,rosa,2.5,2,0.8,0.4,1.7,5
9,2,rosa,2.4,2,0.8,0.4,2,5
9,3,rosa,2.4,2,1,0.4,2.8,5
9,4,rosa,2.4,2.2,0.9,0.4,2.2,5
9,5,rosa,2.5,2,1,0.4,2.3,5
9,6,rosa,2.4,2,1,0.4,2,5
9,7,rosa,2.2,1.9,0.8,0.3,2.1,5
10,1,rosa,2.1,1.9,0.8,0.3,2.2,4.2
10,2,rosa,2.1,2,1,0.4,1.8,4.2
10,3,rosa,2,2,1,0.3,1.7,4.1
10,4,rosa,2,2,1,0.4,1.7,4.1
10,5,rosa,2.1,1.9,0.8,0.4,1.6,4
10,6,rosa,2.1,2,0.9,0.3,1.7,4.1
10,7,rosa,2,2,0.9,0.3,2,4
11,1,blanco,2.2,2.3,1,0.4,2.8,4
11,2,blanco,2.1,2.2,0.9,0.4,2.2,4
11,3,blanco,2,1.8,0.8,0.4,2.3,4
11,4,blanco,2.2,2.2,1,0.4,2,4
11,5,blanco,1.8,1.7,0.8,0.4,2.1,3.9
11,6,blanco,1.8,1.6,0.8,0.3,2.2,4
11,7,blanco,2,2.2,1,0.3,1.8,4
12,1,blanco,1.8,2,0.9,0.4,1.7,4
12,2,blanco,1.9,2.2,0.9,0.4,1.7,4
12,3,blanco,1.9,2.2,1,0.4,1.6,4
12,4,blanco,2,2.2,1,0.4,2,4
12,5,blanco,2,2.1,0.9,0.4,2.8,4
12,6,blanco,2.1,2.2,1,0.4,2.2,4.1
12,7,blanco,1.9,2.1,1,0.4,2.3,4
13,1,blanco,2.1,2.2,1,0.4,2,4
13,2,blanco,2,2.2,1,0.4,2.1,4
13,3,blanco,2.1,2.2,1,0.3,2.2,4
13,4,blanco,2.1,2.2,1,0.3,2,4
13,5,blanco,1.9,2,0.9,0.4,2.1,4
13,6,blanco,2,2.2,1,0.4,2,4
13,7,blanco,2,2.3,1,0.4,2,4
14,1,blanco,2.2,2.2,0.9,0.3,1.9,4
14,2,blanco,2.1,2.3,0.9,0.3,2,4
14,3,blanco,2,2.2,0.9,0.4,1.8,4
14,4,blanco,2.1,2.3,0.8,0.4,2,4
14,5,blanco,2,2.2,0.8,0.3,2.1,4.2
14,6,blanco,2.2,2.2,0.8,0.3,2,4
14,7,blanco,2.1,2.2,0.8,0.4,2,4.5
15,1,blanco,2,2.3,0.8,0.3,1.9,4.2
15,2,blanco,1.9,2,0.8,0.4,2,4
15,3,blanco,2.1,2.3,0.9,0.3,1.8,4
15,4,blanco,2,2.2,0.9,0.4,2,4
15,5,blanco,1.9,2.1,0.8,0.4,2.1,4
15,6,blanco,1.9,2.2,0.8,0.4,2,4
15,7,blanco,2,2.2,0.8,0.4,2,4
16,1,blanco,2,2.3,0.9,0.4,1.9,4
16,2,blanco,2.1,2.3,0.9,0.3,2,4.2
16,3,blanco,2.1,2.2,0.9,0.3,1.8,4.2
16,4,blanco,2,2,0.8,0.4,2,4
16,5,blanco,1.9,2.1,0.8,0.4,2.1,4.1
16,6,blanco,2,2.1,0.8,0.3,2,4
16,7,blanco,2,2,1,0.4,2,4
17,1,blanco,2,2.1,0.9,0.3,1.9,4.1
17,2,blanco,1.9,1.9,1,0.4,2,3.9
17,3,blanco,2,2.2,0.9,0.4,2,4
17,4,blanco,1.9,2,0.8,0.4,2,4
17,5,blanco,2.1,2.1,1,0.3,2,4.3
17,6,blanco,2,2.3,1,0.4,2,4
17,7,blanco,2,2.1,1,0.4,1.9,4
18,1,blanco,2.2,2.2,1,0.4,2.1,4.5
18,2,blanco,2.1,2.2,1,0.3,2.1,4.4
18,3,blanco,2.3,2.5,0.9,0.4,2.1,4.7
18,4,blanco,2,2.4,0.9,0.4,2.2,4
18,5,blanco,2.4,2.5,0.8,0.4,2.2,4.9
18,6,blanco,2.5,2.4,0.8,0.4,2.1,5
18,7,blanco,2.3,2.1,0.8,0.4,2,4.6
19,1,blanco,1.8,1.9,0.9,0.3,1.9,3.9
19,2,blanco,1.9,1.9,1,0.3,2.1,4
19,3,blanco,1.8,2,1,0.3,2.1,3.9
19,4,blanco,2,2,1,0.4,2.1,3.9
19,5,blanco,1.8,2,1,0.3,2.2,3.9
19,6,blanco,1.9,2,1,0.3,2.8,4
19,7,blanco,2,2,0.9,0.4,2.2,4
20,1,blanco,2.1,2.1,0.8,0.3,2.3,4.3
20,2,blanco,1.9,2,0.9,0.3,2,4
20,3,blanco,2,1.9,0.8,0.4,2.1,4
20,4,blanco,2,2,0.8,0.3,2.2,4
20,5,blanco,2.1,2,0.8,0.3,1.8,4.2
20,6,blanco,2,2,0.8,0.4,1.7,4
20,7,blanco,2,2,0.8,0.4,2,4
21,1,lila,2.1,2.2,0.8,0.4,2.8,4.3
21,2,lila,2.2,2.2,0.8,0.4,2.2,4.5
21,3,lila,2.1,2.3,0.8,0.3,2.3,4.3
21,4,lila,2.3,2.3,0.8,0.4,2,4.7
21,5,lila,2.2,2.2,0.8,0.4,2.1,4.6
21,6,lila,2,2.3,0.8,0.4,2.2,4
21,7,lila,2.1,2.4,0.8,0.3,1.8,4.3
22,1,lila,2.3,2.4,0.9,0.3,2.1,4.8
22,2,lila,2.2,2.1,0.9,0.4,2.1,4.6
22,3,lila,2.2,2.2,1,0.3,2.2,4.5
22,4,lila,2.3,2.1,1,0.3,2.1,4.6
22,5,lila,2.3,2.3,1,0.3,2.1,4.6
22,6,lila,2.1,2.1,0.9,0.4,2.1,4.2
22,7,lila,2.2,2.3,0.8,0.3,2.2,4.2
23,1,lila,2.2,2.3,0.9,0.3,2.2,4.6
23,2,lila,2.3,2.2,0.9,0.4,2.1,4.7
23,3,lila,2.2,2.1,1,0.4,2.1,4.5
23,4,lila,2.2,2.2,1,0.4,2.2,4.5
23,5,lila,2.3,2.1,1,0.4,2.1,4.7
23,6,lila,2.3,2.1,1,0.3,2.2,4.7
23,7,lila,2.2,2.1,1,0.3,2,4.5
24,1,lila,2.3,2.2,1,0.4,2.8,4.4
24,2,lila,2.4,2.3,1,0.3,2.2,4.9
24,3,lila,2.4,2.3,1,0.3,2.3,5
24,4,lila,2.4,2.3,1,0.4,2,5
24,5,lila,2.3,2.3,1,0.4,2.1,4.7
24,6,lila,2.4,2.2,0.9,0.4,2.2,4.9
24,7,lila,2.4,2.3,1,0.4,1.8,4.9
25,1,lila,2.1,2,0.8,0.4,2.1,4.1
25,2,lila,2,2,0.8,0.4,2.1,4
25,3,lila,2.1,2.2,0.9,0.3,2.2,4
25,4,lila,1.9,2,1,0.3,2.3,4
25,5,lila,2,2,1,0.3,2,4
25,6,lila,1.9,2,1,0.4,2.1,4.1
25,7,lila,1.8,2,1,0.3,2.2,4
26,1,lila,2,2,1,0.3,1.8,4.1
26,2,lila,2.1,2.3,1,0.4,2.1,4
26,3,lila,1.9,2.2,0.9,0.3,2.1,4
26,4,lila,2.1,2.3,0.9,0.3,2.2,4
26,5,lila,1.9,2.2,0.9,0.4,2.3,4
26,6,lila,1.9,2.3,1,0.3,2,4
26,7,lila,1.8,2.1,1,0.3,2.1,3.9
27,1,lila,1.9,2.1,1,0.4,2.2,4
27,2,lila,1.9,2.1,0.9,0.4,1.8,4
27,3,lila,2.1,2.1,0.9,0.4,2.1,4.3
27,4,lila,2,2.2,0.8,0.4,2.1,4
27,5,lila,1.9,2,0.8,0.3,2.2,4
27,6,lila,2,2.2,0.9,0.4,1.6,4.3
27,7,lila,2.2,2.2,0.9,0.4,1.8,4.2
28,1,lila,2.1,2.2,0.9,0.4,2,4.2
28,2,lila,2.3,2.3,0.8,0.3,2.1,4.5
28,3,lila,2.2,2.3,0.9,0.3,2,4.5
28,4,lila,2.2,2.3,0.8,0.4,2,4.3
28,5,lila,2.1,2.4,1,0.3,1.9,4.3
28,6,lila,2.2,2.4,1,0.3,2,4.4
28,7,lila,2.2,2.3,0.8,0.4,1.8,4.4
29,1,lila,2,2,0.8,0.3,1.7,4
29,2,lila,1.9,2.1,0.8,0.3,2,4
29,3,lila,2.1,2.2,0.8,0.4,2.8,4
29,4,lila,2,2.2,0.8,0.3,2.2,4.1
29,5,lila,1.9,2.2,0.8,0.3,2.1,3.9
29,6,lila,2,2.1,0.8,0.4,2.3,4
29,7,lila,2.1,2.2,0.9,0.3,2.4,4
30,1,lila,2,2.1,0.8,0.3,2.2,4
30,2,lila,2.2,2.3,0.9,0.4,2.4,4
30,3,lila,2.1,2.2,1,0.3,2.2,4
30,4,lila,2.2,2.1,0.9,0.3,2.1,4
30,5,lila,2,2,0.8,0.4,2,4
30,6,lila,2,2.1,1,0.4,2,4
30,7,lila,2,2.2,1,0.3,2.1,4
31,1,magenta,2,2.2,1,0.3,2.2,4
31,2,magenta,2.1,2.2,0.9,0.4,2.1,4.1
31,3,magenta,2.1,2.2,0.9,0.3,2.2,4.2
31,4,magenta,2,2,0.8,0.3,2,4
31,5,magenta,1.9,1.9,0.8,0.3,2.1,4
31,6,magenta,2.2,2,0.9,0.4,2.2,4.5
31,7,magenta,2.1,1.9,1,0.3,1.8,4.2
32,1,magenta,2,2,0.8,0.3,2.1,4
32,2,magenta,2.2,1.9,0.8,0.3,2.1,4.4
32,3,magenta,2.1,1.9,0.8,0.4,2.2,4.2
32,4,magenta,2.3,1.9,0.8,0.3,1.6,4.5
32,5,magenta,2.2,2,0.8,0.3,2,4
32,6,magenta,2.1,2,0.8,0.3,2.1,4.1
32,7,magenta,2,1.9,0.9,0.3,2.2,4
33,1,magenta,2.2,1.8,0.9,0.4,1.8,4.1
33,2,magenta,2,1.7,0.8,0.3,2.1,4
33,3,magenta,2.1,1.9,0.8,0.3,2.1,4
33,4,magenta,2.1,2,0.8,0.3,2.2,4
33,5,magenta,2.1,1.9,0.8,0.4,2.1,4
33,6,magenta,2,1.9,0.9,0.3,2.2,4
33,7,magenta,2.2,1.8,0.8,0.4,1.8,4.3
34,1,magenta,2,2,0.9,0.3,2.1,4.2
34,2,magenta,2.1,2.1,1,0.3,2.1,4.2
34,3,magenta,2.3,2,0.9,0.4,2.2,4.5
34,4,magenta,2,2,0.8,0.3,2.1,4
34,5,magenta,2.1,2.1,1,0.4,2.2,4
34,6,magenta,2.2,2.2,1,0.3,1.8,4.4
34,7,magenta,2.2,2.1,1,0.3,2.1,4.5
35,1,magenta,2.2,2,0.9,0.4,2.1,4.5
35,2,magenta,2,2,0.9,0.4,2.2,4
35,3,magenta,2.1,2.1,0.8,0.4,2,4.2
35,4,magenta,2.1,2.1,0.8,0.4,2.2,4.2
35,5,magenta,2.1,2,0.9,0.3,1.8,4.2
35,6,magenta,2,2.2,1,0.4,2.1,4
35,7,magenta,2,2,0.8,0.4,2.1,4
36,1,magenta,2.1,2,0.8,0.4,2.2,4.3
36,2,magenta,2,2,0.8,0.4,2,4
36,3,magenta,2.1,2.2,0.9,0.3,2,4.4
36,4,magenta,2.3,2.2,0.8,0.3,2,4
36,5,magenta,2,2,0.9,0.4,2,4.1
36,6,magenta,2.1,2,1,0.4,2.1,4.2
36,7,magenta,2,2.2,0.9,0.3,2.2,4
37,1,magenta,2.2,2.2,0.8,0.3,2.3,4.5
37,2,magenta,2,2,1,0.4,2.2,4
37,3,magenta,2,2.1,1,0.3,2.1,4
37,4,magenta,2.1,2,1,0.3,2.1,4
37,5,magenta,2.1,1.9,0.8,0.4,2.2,4.2
37,6,magenta,2.2,2,0.8,0.3,2.3,4.5
37,7,magenta,2.2,2,0.8,0.3,2.2,4.4
38,1,magenta,2.1,1.9,0.9,0.4,2.1,4.5
38,2,magenta,2.2,2,1,0.3,2.2,4.4
38,3,magenta,2.2,1.8,0.9,0.3,2,4.5
38,4,magenta,2,1.8,0.8,0.3,2,4.1
38,5,magenta,2.1,2,1,0.4,2,4.2
38,6,magenta,2,2.1,0.8,0.3,2,4.2
38,7,magenta,2.2,1.9,0.8,0.3,2.1,4.6
39,1,magenta,2.3,2,1,0.4,2.2,4.6
39,2,magenta,2,2.1,0.8,0.4,2.3,4
39,3,magenta,2.1,2.2,0.8,0.3,2.2,4.2
39,4,magenta,2.2,2.2,0.8,0.3,2.1,4.2
39,5,magenta,2.1,2.1,0.8,0.4,2.2,4.2
39,6,magenta,2,1.9,0.8,0.3,1.9,4
39,7,magenta,2.2,2,0.8,0.3,1.9,4.4
40,1,magenta,2.2,1.9,0.8,0.4,2.8,4.4
40,2,magenta,2.1,2,0.9,0.4,2.1,4.2
40,3,magenta,2,1.9,0.8,0.3,2.2,4
40,4,magenta,2,1.8,0.9,0.3,2.3,4
40,5,magenta,2.2,2,1,0.4,1.9,4.4
40,6,magenta,2.2,2.1,1,0.4,2.1,4.4
40,7,magenta,2.2,2,1,0.4,1.9,4.4
